date,open,high,low,close
2021-05-18 0:00:00,3282.25,3304.82,3240,3260.97
2021-05-17 0:00:00,3581.81,3587.06,3102,3282.51
2021-05-16 0:00:00,3646.24,3879,3343.06,3582.1
2021-05-15 0:00:00,4075.02,4134.05,3632,3646.68
2021-05-14 0:00:00,3717.92,4173.28,3691.35,4075.01
2021-05-13 0:00:00,3810.15,4034.77,3500,3717.91
2021-05-12 0:00:00,4173.46,4372.72,3701.58,3823.21
2021-05-11 0:00:00,3946.63,4180.22,3771.64,4173.45
2021-05-10 0:00:00,3923.95,4208,3650,3945.88
2021-05-09 0:00:00,3910.26,3983.65,3726.08,3923.95
2021-05-08 0:00:00,3479.79,3958.33,3449.27,3910.26
2021-05-07 0:00:00,3489.74,3587,3353.23,3479.53
2021-05-06 0:00:00,3524.33,3605.4,3376.47,3489.73
2021-05-05 0:00:00,3239.01,3549.34,3200.23,3524.26
2021-05-04 0:00:00,3431.04,3527,3160,3239.01
2021-05-03 0:00:00,2949.33,3454,2949.32,3431.04
2021-05-02 0:00:00,2944.83,2985,2852.26,2949.56
2021-05-01 0:00:00,2772.42,2954.28,2743.41,2944.77
2021-04-30 0:00:00,2757.04,2798.3,2723.09,2772.42
2021-04-29 0:00:00,2748.23,2798,2668,2757.04
2021-04-28 0:00:00,2666.13,2760,2559.44,2748.24
2021-04-27 0:00:00,2532.06,2680,2480.29,2666.13
2021-04-26 0:00:00,2320.44,2542.8,2303.64,2532.6
2021-04-25 0:00:00,2214.08,2356.64,2168,2320.49
2021-04-24 0:00:00,2367.39,2368.74,2154.8,2213.35
2021-04-23 0:00:00,2397.94,2442.89,2107,2367.39
2021-04-22 0:00:00,2357.06,2644.47,2303.44,2397.94
2021-04-21 0:00:00,2330.26,2469.54,2235.16,2357.06
2021-04-20 0:00:00,2161.12,2346.62,2055,2330.03
2021-04-19 0:00:00,2235.65,2300,2080,2161.12
2021-04-18 0:00:00,2317.65,2340,1946.8,2235.64
2021-04-17 0:00:00,2422.38,2495,2310,2317.6
2021-04-16 0:00:00,2514.04,2548.29,2300,2422.67
2021-04-15 0:00:00,2432.59,2543.47,2400,2514.04
2021-04-14 0:00:00,2299.19,2447.29,2281.33,2432.6
2021-04-13 0:00:00,2137.86,2318,2135.53,2299.19
2021-04-12 0:00:00,2151.42,2203.46,2102,2137.69
2021-04-11 0:00:00,2133.49,2165.02,2113.4,2151.36
2021-04-10 0:00:00,2067.19,2200,2058,2133.49
2021-04-09 0:00:00,2080.39,2100,2047.57,2066.87
2021-04-08 0:00:00,1963.46,2084.61,1947.35,2080.46
2021-04-07 0:00:00,2112.22,2129.01,1930.01,1963.47
2021-04-06 0:00:00,2107.43,2151,2044.65,2112.21
2021-04-05 0:00:00,2075.7,2130.64,2002.15,2107.38
2021-04-04 0:00:00,2008.59,2091.83,1975.24,2075.69
2021-04-03 0:00:00,2133.69,2138.12,1996.3,2008.52
2021-04-02 0:00:00,1968.05,2146,1948.48,2133.69
2021-04-01 0:00:00,1919.37,1984.77,1885.02,1968.05
2021-03-31 0:00:00,1840.41,1947.29,1768.15,1919.37
2021-03-30 0:00:00,1816.76,1859.13,1786.3,1840.46
2021-03-29 0:00:00,1687.16,1841,1677.85,1816.74
2021-03-28 0:00:00,1712.52,1725.66,1661.4,1687.01
2021-03-27 0:00:00,1698.84,1732.67,1666.41,1712.63
2021-03-26 0:00:00,1585.83,1699.93,1585.79,1698.84
2021-03-25 0:00:00,1581.88,1622,1549.4,1585.74
2021-03-24 0:00:00,1668.2,1740.86,1536.92,1581.84
2021-03-23 0:00:00,1681.17,1721.17,1650,1668.08
2021-03-22 0:00:00,1783.23,1807.51,1655.15,1680.97
2021-03-21 0:00:00,1806.57,1817.16,1747,1782.98
2021-03-20 0:00:00,1809.01,1868.83,1800.86,1806.1
2021-03-19 0:00:00,1775.92,1840.61,1733.47,1809.1
2021-03-18 0:00:00,1823.58,1850,1759.04,1776.08
2021-03-17 0:00:00,1805.01,1838.88,1741.18,1823.58
2021-03-16 0:00:00,1793.99,1819.5,1711.68,1805.12
2021-03-15 0:00:00,1848.1,1891.76,1730,1793.48
2021-03-14 0:00:00,1922.35,1933.1,1836,1848.1
2021-03-13 0:00:00,1766.13,1944.3,1727.75,1922.35
2021-03-12 0:00:00,1825.78,1841.88,1719.72,1766.1
2021-03-11 0:00:00,1795.28,1846.7,1725,1825.78
2021-03-10 0:00:00,1870.5,1877.69,1757,1795.12
2021-03-09 0:00:00,1833.22,1870.77,1798.2,1870.51
2021-03-08 0:00:00,1726.46,1843.59,1664.96,1833.18
2021-03-07 0:00:00,1650.68,1734.16,1630.35,1726.16
2021-03-06 0:00:00,1528.08,1671.58,1513.03,1650.35
2021-03-05 0:00:00,1539.22,1548.96,1441.66,1528.31
2021-03-04 0:00:00,1567.68,1624.87,1506.36,1539.23
2021-03-03 0:00:00,1486.79,1656.94,1475.47,1567.69
2021-03-02 0:00:00,1570,1602.9,1455.52,1486.78
2021-03-01 0:00:00,1418.67,1572,1409.91,1569.86
2021-02-28 0:00:00,1458.27,1468.75,1293.18,1419.18
2021-02-27 0:00:00,1444.56,1529,1425,1458.13
2021-02-26 0:00:00,1482.08,1562.25,1400,1444.59
2021-02-25 0:00:00,1623.16,1671.59,1459.16,1481.75
2021-02-24 0:00:00,1577.79,1712.7,1500.2,1623.39
2021-02-23 0:00:00,1777.42,1782.39,1355,1577.89
2021-02-22 0:00:00,1933.54,1936.29,1551,1777.58
2021-02-21 0:00:00,1912.9,1976.31,1883.01,1933.53
2021-02-20 0:00:00,1955.46,2042.34,1803.14,1913
2021-02-19 0:00:00,1938.91,1972.82,1891,1955
2021-02-18 0:00:00,1849.7,1950.5,1849.69,1939.61
2021-02-17 0:00:00,1781.99,1855,1733.01,1849.88
2021-02-16 0:00:00,1779.33,1827.28,1724,1781.99
2021-02-15 0:00:00,1800.03,1835.72,1655.67,1779.25
2021-02-14 0:00:00,1815.25,1850,1784.11,1800.42
2021-02-13 0:00:00,1840.24,1871.72,1765,1814.96
2021-02-12 0:00:00,1785.83,1864.88,1739.88,1840.26
2021-02-11 0:00:00,1740.76,1819,1703.44,1785.62
2021-02-10 0:00:00,1769.14,1837.86,1680,1740.78
2021-02-09 0:00:00,1749.68,1821.88,1708.49,1769.13
2021-02-08 0:00:00,1611.46,1775.57,1563.89,1750.15
2021-02-07 0:00:00,1676.35,1693,1490.46,1611.62
2021-02-06 0:00:00,1718.95,1743.67,1642.94,1676.35
2021-02-05 0:00:00,1595.53,1760.49,1591,1719.19
